route_id,service_id,trip_id,direction_id,block_id,shape_id,trip_type
331,0,7085,,,2314671,
331,0,7086,,,2314671,
331,0,7087,,,2314671,
331,0,7088,,,2314671,
331,0,7089,,,2314671,
331,0,7090,,,2314671,
331,0,7091,,,2314671,
331,0,7092,,,2314671,
331,0,7093,,,2314671,
331,0,7094,,,2314671,
331,0,7095,,,2314671,
331,0,7096,,,2314671,
331,0,7097,,,2314671,
331,0,7098,,,2314671,
331,0,7099,,,2314671,
331,0,7100,,,2314671,
331,0,7101,,,2314671,
331,0,7102,,,2314671,
319,0,6154,,,2089835,
319,0,6155,,,2089835,
319,0,6156,,,2089835,
319,0,6157,,,2089835,
319,0,6158,,,2089835,
319,0,6159,,,2089835,
319,0,6160,,,2089835,
319,0,6161,,,2089835,
319,0,6162,,,2089835,
319,0,6163,,,2089835,
319,0,6164,,,2089835,
319,0,6165,,,2089835,
319,0,6166,,,2089835,
319,0,6167,,,2089835,
319,0,6168,,,2089835,
319,0,6169,,,2089835,
319,0,6170,,,2089835,
319,0,6171,,,2089835,
319,0,6172,,,2089835,
319,0,6173,,,2089835,
319,0,6174,,,2089835,
319,0,6175,,,2089835,
319,1,6220,,,2089835,
319,1,6221,,,2089835,
319,1,6222,,,2089835,
319,1,6223,,,2089835,
319,1,6224,,,2089835,
319,1,6225,,,2089835,
319,1,6226,,,2089835,
319,1,6227,,,2089835,
319,1,6228,,,2089835,
319,1,6229,,,2089835,
319,1,6230,,,2089835,
319,1,6231,,,2089835,
319,1,6232,,,2089835,
319,1,6233,,,2089835,
331,0,7103,,,2314671,
331,0,7104,,,2314671,
331,0,7105,,,2314671,
331,0,7106,,,2314671,
331,0,7107,,,2314671,
331,0,7108,,,2314671,
331,0,7109,,,2314671,
331,0,7110,,,2314671,
331,0,7111,,,2314671,
331,1,7112,,,2314671,
331,1,7113,,,2314671,
331,1,7114,,,2314671,
331,1,7115,,,2314671,
331,1,7116,,,2314671,
331,1,7117,,,2314671,
395,0,10251,,,3195283,
395,0,10252,,,3195283,
395,0,10253,,,3195283,
395,0,10254,,,3195283,
395,0,10255,,,3195283,
395,0,10256,,,3195283,
395,0,10257,,,3195283,
395,0,10258,,,3195283,
395,0,10259,,,3195283,
395,0,10260,,,3195283,
395,0,10261,,,3195283,
395,0,10262,,,3195283,
395,0,10263,,,3195283,
395,0,10264,,,3195283,
395,0,10265,,,3195283,
395,0,10266,,,3195283,
395,0,10267,,,3195283,
395,0,10268,,,3195283,
395,0,10269,,,3195283,
395,0,10270,,,3195283,
395,0,10271,,,3195283,
395,0,10272,,,3195283,
395,0,10273,,,3195283,
395,0,10274,,,3195283,
395,0,10275,,,3195283,
395,0,10276,,,3195283,
395,0,10277,,,3195283,
395,0,10278,,,3195283,
395,0,10279,,,3195283,
395,0,10280,,,3195283,
395,0,10281,,,3195283,
395,0,10282,,,3195283,
395,0,10283,,,3195283,
395,0,10284,,,3195283,
395,0,10285,,,3195283,
395,0,10286,,,3195283,
331,1,7118,,,2314671,
331,1,7119,,,2314671,
331,1,7120,,,2314671,
331,1,7121,,,2314671,
331,1,7122,,,2314671,
331,1,7123,,,2314671,
331,1,7124,,,2314671,
331,1,7125,,,2314671,
331,1,7126,,,2314671,
331,1,7127,,,2314671,
331,1,7128,,,2314671,
331,1,7129,,,2314671,
331,1,7130,,,2314671,
331,1,7131,,,2314671,
331,1,7132,,,2314671,
395,0,10292,,,3177671,
395,0,10293,,,3177671,
395,0,10294,,,3177671,
395,0,10295,,,3177671,
395,0,10296,,,3177671,
395,0,10297,,,3177671,
395,0,10298,,,3177671,
395,0,10299,,,3177671,
395,0,10300,,,3177671,
395,0,10301,,,3177671,
395,0,10302,,,3177671,
395,0,10303,,,3177671,
395,0,10304,,,3177671,
395,0,10305,,,3177671,
395,0,10306,,,3177671,
395,0,10307,,,3177671,
395,0,10308,,,3177671,
395,0,10309,,,3177671,
395,0,10310,,,3177671,
395,0,10311,,,3177671,
395,0,10312,,,3177671,
395,0,10313,,,3177671,
395,0,10314,,,3177671,
395,0,10315,,,3177671,
395,0,10316,,,3177671,
395,0,10317,,,3177671,
395,0,10318,,,3177671,
395,0,10319,,,3177671,
395,0,10320,,,3177671,
395,0,10321,,,3177671,
395,0,10322,,,3177671,
395,0,10323,,,3177671,
395,0,10324,,,3177671,
395,0,10325,,,3177671,
395,0,10326,,,3177671,
395,0,10327,,,3177671,
395,0,10328,,,3177671,
395,0,10329,,,3177671,
331,1,7133,,,2314671,
331,1,7134,,,2314671,
331,1,7135,,,2314671,
331,1,7136,,,2314671,
331,1,7137,,,2314671,
331,1,7138,,,2314671,
331,1,7139,,,2314671,
331,1,7140,,,2314671,
331,1,7141,,,2314671,
331,1,7142,,,2314671,
331,1,7143,,,2314671,
416,0,11371,,,2168842,
416,0,11372,,,2168842,
416,0,11373,,,2168842,
416,0,11374,,,2168842,
416,0,11375,,,2168842,
416,0,11376,,,2168842,
416,0,11377,,,2168842,
416,0,11378,,,2168842,
416,0,11379,,,2168842,
416,0,11380,,,2168842,
416,0,11381,,,2168842,
416,0,11382,,,2168842,
416,0,11383,,,2168842,
416,0,11384,,,2168842,
416,0,11385,,,2168842,
416,0,11386,,,2168842,
416,0,11387,,,2168842,
416,0,11388,,,2168842,
416,0,11389,,,2168842,
416,0,11390,,,2168842,
416,0,11391,,,2168842,
416,0,11392,,,2168842,
416,0,11393,,,2168842,
416,0,11394,,,2168842,
416,0,11395,,,2168842,
416,0,11396,,,2168842,
416,0,11397,,,2168842,
416,0,11398,,,2168842,
416,0,11399,,,2168842,
416,0,11400,,,2168842,
416,0,11401,,,2168842,
416,0,11402,,,2168842,
416,0,11403,,,2168842,
416,0,11404,,,2168842,
416,0,11405,,,2168842,
416,0,11406,,,2168842,
416,0,11407,,,2168842,
416,0,11408,,,2168842,
416,0,11409,,,2168842,
416,0,11410,,,2168842,
331,1,7144,,,2314671,
331,1,7145,,,2314671,
331,1,7146,,,2314671,
331,1,7147,,,2314671,
331,1,7148,,,2314671,
331,2,7149,,,2314671,
331,2,7150,,,2314671,
331,2,7151,,,2314671,
331,2,7152,,,2314671,
331,2,7153,,,2314671,
331,2,7154,,,2314671,
331,2,7155,,,2314671,
331,2,7156,,,2314671,
331,2,7157,,,2314671,
331,2,7158,,,2314671,
331,2,7159,,,2314671,
331,2,7160,,,2314671,
331,2,7161,,,2314671,
331,2,7162,,,2314671,
331,2,7163,,,2314671,
331,2,7164,,,2314671,
331,2,7165,,,2314671,
331,2,7166,,,2314671,
331,2,7167,,,2314671,
331,2,7168,,,2314671,
331,2,7169,,,2314671,
331,2,7170,,,2314671,
331,2,7171,,,2314671,
331,2,7172,,,2314671,
331,2,7173,,,2314671,
331,2,7174,,,2314671,
331,2,7175,,,2314671,
331,2,7176,,,2314671,
223,0,765,,,3372958,
223,0,766,,,3372958,
223,0,767,,,3372958,
223,0,768,,,3372958,
223,0,769,,,3372958,
223,0,770,,,3372958,
223,0,771,,,3372958,
223,0,772,,,3372958,
223,0,773,,,3372958,
223,0,774,,,3372958,
223,0,775,,,3372958,
223,0,776,,,3372958,
223,0,777,,,3372958,
315,0,5328,,,2521698,
315,0,5329,,,2521698,
315,0,5330,,,2521698,
315,0,5331,,,2521698,
315,0,5332,,,2521698,
315,0,5333,,,2521698,
315,0,5334,,,2521698,
315,0,5335,,,2521698,
315,0,5336,,,2521698,
315,0,5337,,,2521698,
315,0,5338,,,2521698,
315,0,5339,,,2521698,
315,0,5340,,,2521698,
315,0,5341,,,2521698,
315,0,5342,,,2521698,
315,0,5343,,,2521698,
315,0,5344,,,2521698,
315,0,5345,,,2521698,
315,0,5346,,,2521698,
315,0,5347,,,2521698,
315,0,5348,,,2521698,
315,0,5349,,,2521698,
315,0,5350,,,2521698,
315,0,5351,,,2521698,
315,0,5352,,,2521698,
315,0,5353,,,2521698,
315,0,5354,,,2521698,
315,0,5355,,,2521698,
223,0,778,,,3372958,
223,0,779,,,3372958,
223,0,780,,,3372958,
223,0,781,,,3372958,
223,0,782,,,3372958,
223,0,783,,,3372958,
223,0,784,,,3372958,
223,0,785,,,3372958,
223,0,786,,,3372958,
223,0,787,,,3372958,
223,0,788,,,3372958,
223,0,789,,,3372958,
223,0,790,,,3372958,
223,0,791,,,3372958,
223,0,792,,,3372958,
223,0,793,,,3372958,
223,0,794,,,3372958,
223,0,795,,,3372958,
223,0,796,,,3372958,
223,0,797,,,3372958,
223,0,798,,,3372958,
223,0,799,,,3372958,
223,0,800,,,3372958,
223,0,801,,,3372958,
223,0,802,,,3372958,
223,0,803,,,3372958,
223,0,804,,,3372958,
223,0,805,,,3372958,
223,0,806,,,3372958,
223,0,807,,,3372958,
223,0,808,,,3372958,
315,0,5390,,,2521697,
315,0,5391,,,2521697,
315,0,5392,,,2521697,
315,0,5393,,,2521697,
315,0,5394,,,2521697,
315,0,5395,,,2521697,
315,0,5396,,,2521697,
223,0,809,,,3372958,
223,0,810,,,3372958,
223,0,811,,,3372958,
223,0,812,,,3372958,
223,0,813,,,3372958,
223,0,814,,,3372958,
223,0,815,,,3372958,
223,0,816,,,3372958,
223,0,817,,,3372958,
223,0,818,,,3372958,
223,0,819,,,3372958,
223,0,820,,,3372958,
223,0,821,,,3372958,
223,0,822,,,3372958,
223,0,823,,,3372958,
223,0,824,,,3372958,
223,0,825,,,3372958,
223,0,826,,,3372958,
223,0,827,,,3372958,
223,0,828,,,3372958,
223,0,829,,,3372958,
223,0,830,,,3372958,
223,0,831,,,3372958,
223,0,832,,,3372958,
223,0,833,,,3372958,
223,0,834,,,3372958,
223,0,835,,,3372958,
223,0,836,,,3372958,
223,0,837,,,3372958,
223,0,838,,,3372958,
223,0,839,,,3372958,
223,0,840,,,3372958,
223,0,841,,,3372958,
223,0,842,,,3372958,
223,0,843,,,3372958,
223,0,844,,,3372958,
223,0,845,,,3372958,
223,0,846,,,3372958,
223,0,847,,,3372958,
223,0,848,,,3372958,
223,0,849,,,3372958,
223,0,850,,,3372958,
223,0,851,,,3372958,
223,0,852,,,3372958,
223,0,853,,,3372958,
223,0,854,,,3372958,
223,0,855,,,3372958,
223,0,856,,,3372958,
223,0,857,,,3372958,
223,0,858,,,3372958,
223,0,859,,,3372958,
223,0,860,,,3372958,
223,0,861,,,3372958,
223,0,862,,,3372958,
223,0,863,,,3372958,
223,0,864,,,3372958,
223,0,865,,,3372958,
223,0,866,,,3372958,
223,1,867,,,3372958,
223,1,868,,,3372958,
223,1,869,,,3372958,
223,1,870,,,3372958,
223,1,871,,,3372958,
223,1,872,,,3372958,
223,1,873,,,3372958,
223,1,874,,,3372958,
223,1,875,,,3372958,
223,1,876,,,3372958,
223,1,877,,,3372958,
223,1,878,,,3372958,
223,1,879,,,3372958,
223,1,880,,,3372958,
223,1,881,,,3372958,
223,1,882,,,3372958,
223,1,883,,,3372958,
223,1,884,,,3372958,
223,1,885,,,3372958,
223,1,886,,,3372958,
223,1,887,,,3372958,
223,1,888,,,3372958,
223,1,889,,,3372958,
223,1,890,,,3372958,
223,1,891,,,3372958,
223,1,892,,,3372958,
223,1,893,,,3372958,
223,1,894,,,3372958,
223,1,895,,,3372958,
223,1,896,,,3372958,
223,1,897,,,3372958,
223,1,898,,,3372958,
223,1,899,,,3372958,
223,1,900,,,3372958,
223,1,901,,,3372958,
223,1,902,,,3372958,
223,1,903,,,3372958,
223,1,904,,,3372958,
223,1,905,,,3372958,
223,1,906,,,3372958,
223,1,907,,,3372958,
223,1,908,,,3372958,
223,1,909,,,3372958,
223,1,910,,,3372958,
223,1,911,,,3372958,
223,1,912,,,3372958,
223,1,913,,,3372958,
223,1,914,,,3372958,
223,1,915,,,3372958,
223,1,916,,,3372958,
223,1,917,,,3372958,
223,1,918,,,3372958,
223,1,919,,,3372958,
223,1,920,,,3372958,
223,1,921,,,3372958,
223,1,922,,,3372958,
223,1,923,,,3372958,
223,1,924,,,3372958,
223,1,925,,,3372958,
223,1,926,,,3372958,
223,1,927,,,3372958,
223,1,928,,,3372958,
223,1,929,,,3372958,
223,1,930,,,3372958,
223,1,931,,,3372958,
223,1,932,,,3372958,
223,1,933,,,3372958,
223,1,934,,,3372958,
223,1,935,,,3372958,
223,1,936,,,3372958,
223,1,937,,,3372958,
223,1,938,,,3372958,
223,1,939,,,3372958,
223,2,940,,,3372958,
223,2,941,,,3372958,
223,2,942,,,3372958,
223,2,943,,,3372958,
223,2,944,,,3372958,
223,2,945,,,3372958,
223,2,946,,,3372958,
223,2,947,,,3372958,
223,2,948,,,3372958,
223,2,949,,,3372958,
223,2,950,,,3372958,
223,2,951,,,3372958,
223,2,952,,,3372958,
223,2,953,,,3372958,
223,2,954,,,3372958,
223,2,955,,,3372958,
223,2,956,,,3372958,
223,2,957,,,3372958,
223,2,958,,,3372958,
223,2,959,,,3372958,
223,2,960,,,3372958,
223,2,961,,,3372958,
223,2,962,,,3372958,
223,2,963,,,3372958,
223,2,964,,,3372958,
223,2,965,,,3372958,
223,2,966,,,3372958,
223,2,967,,,3372958,
223,2,968,,,3372958,
223,2,969,,,3372958,
223,2,970,,,3372958,
311,0,4915,,,2082735,
311,0,4916,,,2082735,
311,0,4917,,,2082735,
311,0,4918,,,2082735,
311,0,4919,,,2082735,
311,0,4920,,,2082735,
311,0,4921,,,2082735,
311,0,4922,,,2082735,
311,0,4923,,,2082735,
311,0,4924,,,2082735,
311,0,4925,,,2082735,
311,0,4926,,,2082735,
311,0,4927,,,2082735,
311,0,4928,,,2082735,
311,0,4929,,,2082735,
311,0,4930,,,2082735,
311,0,4931,,,2082735,
311,0,4932,,,2082735,
311,0,4933,,,2082735,
311,0,4934,,,2082735,
311,0,4935,,,2082735,
311,0,4936,,,2082735,
311,0,4937,,,2082735,
311,0,4938,,,2082735,
311,0,4939,,,2082735,
311,0,4940,,,2082735,
311,0,4941,,,2082735,
311,0,4942,,,2082735,
311,0,4943,,,2082735,
311,0,4944,,,2082735,
311,0,4945,,,2082735,
311,0,4946,,,2082735,
311,0,4947,,,2082735,
311,0,4948,,,2082735,
311,0,4949,,,2082735,
311,0,4950,,,2082735,
311,0,4951,,,2082735,
311,0,4952,,,2082735,
311,0,4953,,,2082735,
311,0,4954,,,2082735,
311,0,4955,,,2082735,
223,2,971,,,3372958,
223,2,972,,,3372958,
295,0,4262,,,3372985,
295,0,4263,,,3372985,
295,0,4264,,,3372985,
295,0,4265,,,3372985,
295,0,4266,,,3372985,
295,0,4267,,,3372984,
295,0,4268,,,3372984,
295,0,4269,,,3372984,
295,0,4270,,,3372984,
295,0,4271,,,3372984,
321,0,6574,,,2737709,
321,0,6575,,,2737709,
321,0,6576,,,2737709,
321,0,6577,,,2737709,
321,0,6578,,,2737709,
321,0,6579,,,2737709,
321,0,6580,,,2737709,
321,0,6581,,,2737709,
321,0,6582,,,2737709,
321,0,6583,,,2737709,
321,0,6584,,,2737709,
321,0,6585,,,2737709,
321,0,6586,,,2737709,
321,0,6587,,,2737709,
321,0,6588,,,2737709,
321,0,6589,,,2737709,
321,0,6590,,,2737709,
321,0,6591,,,2737709,
321,0,6592,,,2737709,
321,0,6593,,,2737709,
321,0,6594,,,2737709,
321,0,6595,,,2737709,
321,0,6596,,,2737709,
321,0,6597,,,2737709,
321,0,6598,,,2737709,
321,0,6599,,,2737709,
321,0,6600,,,2737709,
321,0,6601,,,2737709,
321,0,6602,,,2737709,
321,0,6603,,,2737709,
321,0,6604,,,2737709,
321,0,6605,,,2737709,
321,0,6606,,,2737709,
265,0,2536,,,2236713,
265,0,2537,,,2236713,
265,0,2538,,,2236713,
265,0,2539,,,2236713,
265,0,2540,,,2236713,
265,0,2541,,,2236713,
265,0,2542,,,2236713,
265,0,2543,,,2236713,
265,0,2544,,,2236713,
265,0,2545,,,2236713,
265,0,2546,,,2236713,
265,0,2547,,,2236713,
265,0,2548,,,2236713,
265,0,2549,,,2236713,
265,0,2550,,,2236713,
265,0,2551,,,2236713,
321,0,6607,,,2737709,
321,0,6608,,,2737709,
321,0,6609,,,2737709,
321,0,6610,,,2737709,
321,0,6611,,,2737709,
321,0,6612,,,2737709,
321,0,6613,,,2737709,
321,0,6614,,,2737709,
321,0,6615,,,2737709,
321,0,6616,,,2737709,
321,0,6617,,,2737709,
321,0,6618,,,2737709,
321,0,6619,,,2737709,
321,0,6620,,,2737709,
321,0,6621,,,2737709,
321,0,6622,,,2737709,
321,0,6623,,,2737709,
321,0,6624,,,2737709,
321,1,6625,,,2737709,
321,1,6626,,,2737709,
321,1,6627,,,2737709,
321,1,6628,,,2737709,
321,1,6629,,,2737709,
321,1,6630,,,2737709,
321,1,6631,,,2737709,
321,1,6632,,,2737709,
321,1,6633,,,2737709,
321,1,6634,,,2737709,
321,1,6635,,,2737709,
321,1,6636,,,2737709,
321,1,6637,,,2737709,
321,1,6638,,,2737709,
321,1,6639,,,2737709,
321,1,6640,,,2737709,
321,1,6641,,,2737709,
321,1,6642,,,2737709,
321,1,6643,,,2737709,
321,1,6644,,,2737709,
321,1,6645,,,2737709,
321,1,6646,,,2737709,
321,1,6647,,,2737709,
321,1,6648,,,2737709,
321,1,6649,,,2737709,
321,1,6650,,,2737709,
321,1,6651,,,2737709,
321,1,6652,,,2737709,
321,1,6653,,,2737709,
321,1,6654,,,2737709,
321,1,6655,,,2737709,
321,1,6656,,,2737709,
