stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,direction,position
2441692672,,Rodovia Virgílio Várzea (16),,-27.54564,-48.49759,,,,,
2422162017,,2422162017,,-27.44661,-48.45774,,,,,
1836110413,,1836110413,,-27.65111,-48.47873,,,,,
1832707268,,1832707268,,-27.46085,-48.45838,,,,,
2067230190,,2067230190,,-27.59756,-48.61992,,,,,
1757813143,,1757813143,,-27.66459,-48.48844,,,,,
2083714233,,Rodovia SC-402 (03),,-27.45469,-48.49175,,,,,
1746649796,,1746649796,,-27.60691,-48.62359,,,,,
1668994834,,Rua Henrique Vera do Nascimento (04),,-27.60494,-48.46579,,,,,
2404247741,,Rua João Pacheco da Costa (09),,-27.60005,-48.47094,,,,,
2067008819,,2067008819,,-27.60707,-48.62862,,,,,
1630777035,,1630777035,,-27.67549,-48.48434,,,,,
1459292327,,Rua do Gramal (01),,-27.68254,-48.49369,,,,,
1794826148,,1794826148,,-27.64213,-48.66364,,,,,
910973320,,Rodovia SC-401 (48),,-27.53559,-48.51047,,,,,
2083714188,,Avenida dos Dourados (04),,-27.44432,-48.49801,,,,,
1027390348,,Rua Profa. Maria Flora Pausewang (02),,-27.59729,-48.51955,,,,,
1794844632,,1794844632,,-27.64356,-48.67021,,,,,
2393967233,,Rodovia Baldicero Filomeno (108),,-27.75818,-48.56917,,,,,
2547713910,,2547713910,,-27.62562,-48.66506,,,,,
2401015056,,Rua Jurerê Tradicional (12),,-27.44073,-48.48353,,,,,
2422161991,,2422161991,,-27.42864,-48.45629,,,,,
2083714239,,Rodovia SC-402 (04),,-27.45346,-48.48972,,,,,
2178991488,,Rodovia SC-403 (29),,-27.45021,-48.43901,,,,,
2035067720,,2035067720,,-27.59705,-48.6429,,,,,
2134414175,,2134414175,,-27.43919,-48.39533,,,,,
2193205501,,2193205501,,-27.73471,-48.562,,,,,
1802197373,,1802197373,,-27.64239,-48.67148,,,,,
2007442262,,2007442262,,-27.70535,-48.52646,,,,,
2401015051,,Avenida dos Búzios (17),,-27.44094,-48.48982,,,,,
2069056884,,2069056884,,-27.49135,-48.52934,,,,,
876374609,,Rua Lauro Linhares (08),,-27.59495,-48.5211,,,,,
1757813114,,1757813114,,-27.60126,-48.51686,,,,,
1681047339,,Rodovia Antônio Luiz Moura Gonzaga (33),,-27.65897,-48.4917,,,,,
2134414323,,2134414323,,-27.43944,-48.39965,,,,,
2319081970,,2319081970,,-27.58095,-48.49445,,,,,
2401015054,,FINAL R. José Cardoso de Oliveira,,-27.43212,-48.51522,,,,,
1746649834,,1746649834,,-27.60569,-48.59159,,,,,
1836110239,,Rodovia Antônio Luiz Moura Gonzaga (02),,-27.66004,-48.49325,,,,,
1836110247,,Rua Laurindo Januário da Silveira (03),,-27.62957,-48.47606,,,,,
1681023451,,Avenida das Rendeiras (09),,-27.60906,-48.44222,,,,,
1681023385,,Avenida das Rendeiras (08),,-27.60956,-48.44496,,,,,
1702065918,,Rua João Henrique (06),,-27.58733,-48.46111,,,,,
2573479611,,Rodovia Amaro Antônio Vieira (2),,-27.5758,-48.51026,,,,,
1681023424,,Rodovia Jornalista Manoel de Menezes (05),,-27.59127,-48.43584,,,,,
1836110243,,Rua Hyppólito do Valle Pereira (02),,-27.60612,-48.47512,,,,,
2183882689,,Rodovia Baldicero Filomeno (131),,-27.71141,-48.56011,,,,,
1836110249,,Rua Laurindo Januário da Silveira (07),,-27.62333,-48.47972,,,,,
2007442283,,2007442283,,-27.70715,-48.5095,,,,,
2035067735,,2035067735,,-27.60095,-48.64069,,,,,
2441692673,,Rodovia Virgílio Várzea (17),,-27.54804,-48.49675,,,,,
1681047321,,Rua Laurindo Januário da Silveira (27),,-27.6098,-48.48387,,,,,
1746649782,,1746649782,,-27.60061,-48.60965,,,,,
1514446571,,Rua João Motta Espezim (12),,-27.60792,-48.53623,,,,,
1402454184,,Cidade Universitária (02),,-27.60165,-48.52247,,,,,
1715695966,,Avenida Jorge Lacerda (21),,-27.6256495,-48.5254151,,,,,
1695509239,,1695509239,,-27.65697,-48.51211,,,,,
2178991485,,Rodovia SC-403 (26),,-27.4484,-48.43486,,,,,
1827531313,,1827531313,,-27.77084,-48.50634,,,,,
2404247769,,Rua Laurindo Januário da Silveira (08),,-27.62094,-48.47847,,,,,
2183882911,,2183882911,,-27.71701,-48.5633,,,,,
2393967239,,Rodovia Baldicero Filomeno (110),,-27.75412,-48.56365,,,,,
1829770122,,1829770122,,-27.71258,-48.51038,,,,,
2442045849,,2442045849,,-27.53662,-48.50477,,,,,
1699939763,,Rua João Motta Espezim (11),,-27.60802,-48.53378,,,,,
2573507840,,Rod. Amaro Antonio Veira (011),,-27.58919,-48.49512,,,,,
1681023396,,Avenida Campeche (23),,-27.66348,-48.48026,,,,,
2069128980,,2069128980,,-27.4948,-48.52472,,,,,
1794844616,,1794844616,,-27.63945,-48.66656,,,,,
2404247748,,Rua do Gramal (12),,-27.69309,-48.49896,,,,,
2319083727,,2319083727,,-27.5823,-48.49582,,,,,
2408001485,,Rua João Pio Duarte Silva (02),,-27.60032,-48.51262,,,,,
2035067705,,2035067705,,-27.59481,-48.64306,,,,,
2404247752,,Rua dos Eucaliptos S/N,,-27.69673,-48.49269,,,,,
2461093329,,Rua Graciliano Manoel Gomes (05),,-27.45036,-48.40895,,,,,
2404247809,,2404247809,,-27.70458,-48.4981,,,,,
1460258415,,Rua Prefeito Dib Cherem (01),,-27.59723,-48.5939,,,,,
2393967208,,Rodovia Baldicero Filomeno (100),,-27.77302,-48.57428,,,,,
2400978309,,Rua Jurerê Tradicional (11),,-27.44469,-48.4841,,,,,
2547772481,,2547772481,,-27.629,-48.66029,,,,,
1424273027,,Rodovia SC-405 (12),,-27.66447,-48.50232,,,,,
2193205462,,Rodovia Baldicero Filomeno (124),,-27.72257,-48.5635,,,,,
1457087070,,Rua Antônio Luz (01),,-27.60016,-48.54934,,,,,
906203331,,906203331,,-27.48693,-48.52031,,,,,
1781725093,,Rodovia SC-401 (50),,-27.54417,-48.50303,,,,,
2083714311,,2083714311,,-27.44676,-48.52588,,,,,
2461093336,,Rua Intendente João Nunes Vieira (13),,-27.43938,-48.40483,,,,,
2461093347,,2461093347,,-27.45138,-48.45398,,,,,
1681047346,,Rodovia Antônio Luiz Moura Gonzaga (21),,-27.64021,-48.47475,,,,,
2283640519,,2283640519,,-27.44526,-48.39824,,,,,
2573479619,,Rodovia Amaro Antônio Vieira (20),,-27.57557,-48.50863,,,,,
1469367881,,Rua Santos Saraiva (13),,-27.59383,-48.58058,,,,,
2083714252,,Rodovia SC-402 (06),,-27.44941,-48.4877,,,,,
2083714315,,2083714315,,-27.44682,-48.5256,,,,,
1460258493,,Rua São Cristóvão (01),,-27.59943,-48.58631,,,,,
1751863854,,Rua Deputado Antônio Edu Vieira (13),,-27.60374,-48.517,,,,,
1424636505,,Rua Cap. Romualdo de Barros (06),,-27.60295,-48.52701,,,,,
2422161987,,2422161987,,-27.42861,-48.45462,,,,,
1903375235,,1903375235,,-27.6637897,-48.5310355,,,,,
2084331480,,2084331480,,-27.47384,-48.49015,,,,,
910973323,,Rodovia SC-401 (50A),,-27.53916,-48.50723,,,,,
2193205446,,2193205446,,-27.75204,-48.56074,,,,,
1833401995,,Rodovia SC-401 (39),,-27.48386,-48.49699,,,,,
2404247766,,2404247766,,-27.59883,-48.46549,,,,,
1428242376,,Rodovia SC-405 (38),,-27.66662,-48.50316,,,,,
2441692661,,Rodovia Virgílio Várzea (06),,-27.54557,-48.49753,,,,,
1836110274,,1836110274,,-27.60322,-48.47724,,,,,
2183882828,,2183882828,,-27.70086,-48.54567,,,,,
1471840100,,Avenida Jorge Lacerda (12),,-27.6453753,-48.521715,,,,,
1836110297,,Rua Hyppólito do Valle Pereira (03),,-27.6071,-48.47573,,,,,
1681047335,,Rodovia Admar Gonzaga (18),,-27.60141,-48.47259,,,,,
2395759014,,2395759014,,-27.79568,-48.56195,,,,,
1431106908,,Rua Santos Saraiva (11),,-27.59799,-48.58475,,,,,
1781725105,,1781725105,,-27.51792,-48.51403,,,,,
2067232849,,2067232849,,-27.59315,-48.61702,,,,,
2404247736,,Rua João Henrique Gonçalves (01),,-27.59865,-48.46595,,,,,
2007442265,,2007442265,,-27.7062,-48.52174,,,,,
2183882700,,Rodovia Baldicero Filomeno (133),,-27.70829,-48.55866,,,,,
2183882842,,2183882842,,-27.70357,-48.55507,,,,,
2193205457,,Rodovia Baldicero Filomeno (122),,-27.72582,-48.56339,,,,,
2441692655,,Rodovia João Paulo (21),,-27.56983,-48.5142,,,,,
1827531433,,1827531433,,-27.78385,-48.5284,,,,,
2067008853,,2067008853,,-27.60708,-48.63013,,,,,
2400978307,,Rua Jurerê Tradicional (05),,-27.4486,-48.48747,,,,,
910973314,,Rodovia SC-401 (09A),,-27.53887,-48.50704,,,,,
2083714265,,Rodovia SC-402 (07),,-27.44648,-48.48722,,,,,
2401015040,,Avenida dos Búzios (03),,-27.43989,-48.50038,,,,,
2408001496,,Rua Sebastião Laurentino da Silva (03),,-27.60824,-48.50483,,,,,
1681047336,,Rua Laurindo Januário da Silveira (24),,-27.62166,-48.48354,,,,,
2067230180,,2067230180,,-27.59952,-48.62245,,,,,
872980959,,Rua Lauro Linhares (02),,-27.58234,-48.52632,,,,,
1804951851,,Avenida Madre Benvenuta (01),,-27.58645,-48.50259,,,,,
1427598000,,1427598000,,-27.65558,-48.51434,,,,,
1746649786,,1746649786,,-27.60165,-48.61676,,,,,
1760536492,,Rodovia SC-405 (16),,-27.6753,-48.50795,,,,,
1460258247,,Rua Governador Ivo Silveira (15),,-27.60001,-48.59221,,,,,
1760536509,,Rodovia SC-406 (39),,-27.71694,-48.50759,,,,,
2408001483,,Rua Dom Wilson Laus Schmidt (01),,-27.60396,-48.50363,,,,,
1425790467,,Rua Deputado Antônio Edu Vieira (11),,-27.60822,-48.52056,,,,,
1468492317,,1468492317,,-27.68105,-48.49035,,,,,
2404247750,,Rua dos Eucaliptos (10),,-27.69361,-48.49098,,,,,
2404247806,,2404247806,,-27.70282,-48.50093,,,,,
2441692670,,Rodovia Virgílio Várzea (14),,-27.54339,-48.5008,,,,,
2559826755,,2559826755,,-27.61829,-48.6433,,,,,
1681023390,,Ponto Final Rua Amaro Coelho,,-27.57538,-48.42307,,,,,
1762149820,,1762149820,,-27.5912,-48.55171,,,,,
1827531149,,Avenida Antônio Borges dos Santos (04),,-27.75039,-48.50674,,,,,
1715695956,,Rua João Motta Espezim (07),,-27.61199,-48.52868,,,,,
2178991466,,2178991466,,-27.43253,-48.42253,,,,,
2404247749,,Rua dos Eucaliptos (01),,-27.70589,-48.50058,,,,,
2408001498,,Rua Sebastião Laurentino da Silva (04A),,-27.60932,-48.50645,,,,,
